experiment,target,seq_len,n_eval_aligned,rmse_model,mae_model,rmse_persistence,rmse_rollmean_k7,rmse_ewma_a0.94,best_val_loss,model_path,rmse_model_ci_low,rmse_model_ci_high,mae_model_ci_low,mae_model_ci_high,rmse_persist_ci_low,rmse_persist_ci_high,mae_persist_ci_low,mae_persist_ci_high
market_only,log(vol),30,125,0.0050990858367986665,0.0034728702157735825,0.004530845221231231,0.008364749263242119,0.008423073741173777,0.3238058388233185,D:\Ayush\Deep Learning applications\crypto_volatility_project\models\btc_vol_market_only_best.pt,0.0040874429184968005,0.006056432878210782,0.002847718488192186,0.00414014927810058,0.0032798291689311774,0.005730747563025003,0.0018734887677244842,0.003141332709509879
multimodal_full,log(vol),30,125,0.00514737812050519,0.0035053167957812548,0.004530845221231231,0.008364749263242119,0.008423073741173777,0.3192659914493561,D:\Ayush\Deep Learning applications\crypto_volatility_project\models\btc_vol_multimodal_full_best.pt,0.004129015492415522,0.006136938917536763,0.0028688346850685776,0.004181898513343185,0.0032798291689311774,0.005730747563025003,0.0018734887677244842,0.003141332709509879
no_log_target_full,vol,30,125,0.005185533917708561,0.003589319298043847,0.00453084515203726,0.008364748970463482,0.008423073563872306,0.22729749977588654,D:\Ayush\Deep Learning applications\crypto_volatility_project\models\btc_vol_no_log_target_full_best.pt,0.004182936214972104,0.006188020065041753,0.002947254606988281,0.004284472810104489,0.0032798299625041885,0.005730746711999565,0.0018734895434230567,0.003141332797333598
no_lag_features,log(vol),30,125,0.011121918499223914,0.009811119176447392,0.004530845221231231,0.008364749263242119,0.008423073741173777,0.8023157715797424,D:\Ayush\Deep Learning applications\crypto_volatility_project\models\btc_vol_no_lag_features_best.pt,0.010298865331722879,0.011941385143349439,0.008933960529975592,0.010731847397983075,0.0032798291689311774,0.005730747563025003,0.0018734887677244842,0.003141332709509879
price_return_only,log(vol),30,125,0.011763933243500913,0.010469085536897182,0.004530845221231231,0.008364749263242119,0.008423073741173777,0.8388915657997131,D:\Ayush\Deep Learning applications\crypto_volatility_project\models\btc_vol_price_return_only_best.pt,0.010842623538095866,0.012641859030472907,0.009528317349031567,0.011405601212754845,0.0032798291689311774,0.005730747563025003,0.0018734887677244842,0.003141332709509879
